TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,16,6.1,65,30.5,10,WSW,3.5,-,N/A,,Clear,240,8/01/2014 5:51
1:51 AM,17.1,6.1,62,30.5,10,WSW,3.5,-,N/A,,Clear,240,8/01/2014 6:51
2:51 AM,19,5,54,30.51,10,Calm,Calm,-,N/A,,Clear,0,8/01/2014 7:51
3:51 AM,18,6.1,60,30.53,10,Calm,Calm,-,N/A,,Clear,0,8/01/2014 8:51
4:51 AM,18,6.1,60,30.53,10,Calm,Calm,-,N/A,,Clear,0,8/01/2014 9:51
5:51 AM,17.1,6.1,62,30.53,10,Calm,Calm,-,N/A,,Clear,0,8/01/2014 10:51
6:51 AM,16,7,68,30.56,10,Calm,Calm,-,N/A,,Partly Cloudy,0,8/01/2014 11:51
7:15 AM,15.8,6.8,68,30.53,10,Calm,Calm,-,N/A,,Partly Cloudy,0,8/01/2014 12:15
7:51 AM,15.1,8.1,74,30.58,10,Calm,Calm,-,N/A,,Partly Cloudy,0,8/01/2014 12:51
8:51 AM,21.9,9,58,30.6,10,South,3.5,-,N/A,,Partly Cloudy,180,8/01/2014 13:51
9:51 AM,26.1,7,44,30.62,10,Calm,Calm,-,N/A,,Partly Cloudy,0,8/01/2014 14:51
10:51 AM,30,8.1,40,30.61,10,SW,3.5,-,N/A,,Partly Cloudy,230,8/01/2014 15:51
11:51 AM,34,7,32,30.58,10,SSW,3.5,-,N/A,,Partly Cloudy,210,8/01/2014 16:51
12:51 PM,37,7,29,30.54,10,South,5.8,-,N/A,,Partly Cloudy,170,8/01/2014 17:51
1:51 PM,41,8.1,26,30.53,10,South,3.5,-,N/A,,Partly Cloudy,180,8/01/2014 18:51
2:51 PM,42.1,7,24,30.51,10,SW,8.1,-,N/A,,Partly Cloudy,220,8/01/2014 19:51
3:51 PM,42.1,7,24,30.52,10,SW,6.9,-,N/A,,Partly Cloudy,220,8/01/2014 20:51
4:51 PM,41,8.1,26,30.52,10,South,8.1,-,N/A,,Partly Cloudy,190,8/01/2014 21:51
5:51 PM,36,8.1,31,30.53,10,SSE,4.6,-,N/A,,Partly Cloudy,150,8/01/2014 22:51
6:51 PM,34,8.1,34,30.53,10,SSE,4.6,-,N/A,,Partly Cloudy,160,8/01/2014 23:51
7:51 PM,33.1,9,37,30.54,10,SSE,5.8,-,N/A,,Partly Cloudy,160,9/01/2014 0:51
8:51 PM,32,9,38,30.54,10,South,4.6,-,N/A,,Partly Cloudy,180,9/01/2014 1:51
9:51 PM,30,10.9,45,30.55,10,Calm,Calm,-,N/A,,Scattered Clouds,0,9/01/2014 2:51
10:51 PM,30.9,10,42,30.54,10,Calm,Calm,-,N/A,,Scattered Clouds,0,9/01/2014 3:51
11:51 PM,-99999,10,47,30.53,10,Calm,Calm,-,N/A,,Scattered Clouds,0,9/01/2014 4:51
